,Pesos,Condutância
115,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.03
116,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.03
117,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.03
118,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.02
119,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.02
120,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.02
121,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.01
122,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.01
123,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.01
124,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.01
125,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.01
126,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.94 0.01
127,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.89 0.01
128,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.01
129,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
130,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
131,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
132,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
133,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
134,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
135,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
136,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.94 0.00
137,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.89 0.00
138,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.84 0.00
139,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.78 0.00
140,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.73 0.00
141,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.67 0.00
142,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.61 0.00
143,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.56 0.00
144,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.51 0.00
145,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.46 0.00
146,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.42 0.00
147,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.37 0.00
148,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.34 0.00
