,Pesos,Condutância
2458,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2459,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
2460,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
2461,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2462,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2463,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
2464,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
2465,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2466,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
2467,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2468,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
2469,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
2470,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2471,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
2472,-14.08 -14.90 -14.11 -14.89,0.00 1.00 0.00 0.00
2473,-14.08 -14.90 -14.11 -14.89,0.00 0.99 0.00 0.00
2474,-14.08 -14.90 -14.11 -14.89,0.00 0.96 0.00 0.00
2475,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2476,-14.08 -14.90 -14.11 -14.89,0.00 0.87 0.00 0.00
2477,-14.08 -14.90 -14.11 -14.89,0.00 0.81 0.00 0.00
2478,-14.08 -14.90 -14.11 -14.89,0.00 0.75 0.00 0.00
2479,-14.08 -14.90 -14.11 -14.89,0.00 0.69 0.00 0.00
2480,-14.08 -14.90 -14.11 -14.89,0.00 0.63 0.00 0.00
2481,-14.08 -14.90 -14.11 -14.89,0.00 0.58 0.00 0.00
2482,-14.08 -14.90 -14.11 -14.89,0.00 0.52 0.00 0.00
2483,-14.08 -14.90 -14.11 -14.89,0.00 0.47 0.00 0.00
2484,-14.08 -14.90 -14.11 -14.89,0.00 0.42 0.00 0.00
2485,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2486,-14.08 -14.90 -14.11 -14.89,0.00 0.34 0.00 0.00
2487,-14.08 -14.90 -14.11 -14.89,0.00 0.30 0.00 0.00
2488,-14.08 -14.90 -14.11 -14.89,0.00 0.27 0.00 0.00
2489,-14.08 -14.90 -14.11 -14.89,0.00 0.24 0.00 0.00
2490,-14.08 -14.90 -14.11 -14.89,0.00 0.21 0.00 0.00
2491,-14.08 -14.90 -14.11 -14.89,0.00 0.19 0.00 0.00
2492,-14.08 -14.90 -14.11 -14.89,0.00 0.17 0.00 0.00
2493,-14.08 -14.90 -14.11 -14.89,0.00 0.15 0.00 0.00
2494,-14.08 -14.90 -14.11 -14.89,0.00 0.13 0.00 0.00
2495,-14.08 -14.90 -14.11 -14.89,0.00 0.11 0.00 0.00
2496,-14.08 -14.90 -14.11 -14.89,0.00 0.10 0.00 0.00
2497,-14.08 -14.90 -14.11 -14.89,0.00 0.09 0.00 0.00
2498,-14.08 -14.90 -14.11 -14.89,0.00 0.08 0.00 0.00
2499,-14.08 -14.90 -14.11 -14.89,0.00 0.07 0.00 0.00
2500,-14.08 -14.90 -14.11 -14.89,0.00 0.06 0.00 0.00
2501,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
2502,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
2503,-14.08 -14.90 -14.11 -14.89,0.00 0.04 0.00 0.00
2504,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.00 0.38
2505,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.00 0.64
2506,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.00 0.82
2507,-14.08 -14.90 -14.11 -14.89,0.00 0.02 0.00 0.92
2508,-14.08 -14.90 -14.11 -14.89,0.00 0.02 0.00 0.38
2509,-14.08 -14.90 -14.11 -14.89,0.00 0.02 0.00 0.64
2510,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.82
2511,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.92
2512,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.98
2513,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.38
2514,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.64
2515,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.82
2516,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.92
2517,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.00 0.98
2518,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 1.00
2519,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.99
2520,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.96
2521,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
2522,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.87
2523,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.81
2524,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.75
2525,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.69
2526,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.63
2527,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.58
2528,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.52
2529,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.47
2530,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.42
2531,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
2532,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.34
2533,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.30
2534,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.27
2535,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.24
2536,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.21
2537,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.19
2538,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.17
2539,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.15
2540,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.13
2541,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.11
2542,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.10
2543,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.09
2544,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.08
2545,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.07
2546,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.06
2547,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.05
2548,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
2549,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
2550,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
2551,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
2552,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
2553,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
2554,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
2555,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
2556,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
2557,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
2558,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
2559,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
2560,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
2561,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
2562,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
2563,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
2564,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 1.00
2565,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.99
2566,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.96
2567,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
2568,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.87
2569,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.81
2570,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.75
2571,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.69
2572,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.63
2573,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.58
2574,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.52
2575,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.47
2576,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.42
2577,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
2578,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.34
2579,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.30
2580,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.27
2581,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.24
2582,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.21
2583,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.19
2584,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.17
2585,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.15
2586,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.13
2587,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.11
2588,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.10
2589,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.09
2590,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.08
2591,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.07
2592,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.06
2593,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.05
2594,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
2595,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
2596,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
2597,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
2598,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
2599,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
2600,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
2601,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
2602,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
2603,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
2604,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 1.00
2605,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.99
2606,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.96
2607,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.92
2608,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.87
2609,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.81
2610,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.75
2611,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.69
2612,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.63
2613,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.58
2614,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.52
2615,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.47
2616,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.42
2617,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.38
2618,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.34
2619,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.30
2620,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.27
2621,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.24
2622,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.21
2623,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.19
2624,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.17
2625,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.15
2626,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.13
2627,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.11
2628,-14.08 -14.90 -14.11 -14.89,0.94 0.00 0.00 0.10
2629,-14.08 -14.90 -14.11 -14.89,0.89 0.00 0.00 0.09
2630,-14.08 -14.90 -14.11 -14.89,0.84 0.00 0.00 0.08
2631,-14.08 -14.90 -14.11 -14.89,0.78 0.00 0.00 0.07
2632,-14.08 -14.90 -14.11 -14.89,0.73 0.00 0.00 0.06
2633,-14.08 -14.90 -14.11 -14.89,0.67 0.00 0.00 0.05
2634,-14.08 -14.90 -14.11 -14.89,0.61 0.00 0.00 0.04
2635,-14.08 -14.90 -14.11 -14.89,0.56 0.00 0.00 0.04
2636,-14.08 -14.90 -14.11 -14.89,0.51 0.00 0.00 0.03
2637,-14.08 -14.90 -14.11 -14.89,0.46 0.00 0.00 0.03
2638,-14.08 -14.90 -14.11 -14.89,0.42 0.00 0.00 0.03
2639,-14.08 -14.90 -14.11 -14.89,0.37 0.00 0.00 0.02
2640,-14.08 -14.90 -14.11 -14.89,0.34 0.00 0.00 0.02
2641,-14.08 -14.90 -14.11 -14.89,0.30 0.00 0.00 0.02
2642,-14.08 -14.90 -14.11 -14.89,0.27 0.00 0.00 0.01
2643,-14.08 -14.90 -14.11 -14.89,0.24 0.00 0.00 0.01
2644,-14.08 -14.90 -14.11 -14.89,0.21 0.00 0.00 0.01
2645,-14.08 -14.90 -14.11 -14.89,0.19 0.00 0.00 0.01
2646,-14.08 -14.90 -14.11 -14.89,0.17 0.00 0.00 0.01
2647,-14.08 -14.90 -14.11 -14.89,0.15 0.00 0.00 0.01
2648,-14.08 -14.90 -14.11 -14.89,0.13 0.00 0.00 0.01
2649,-14.08 -14.90 -14.11 -14.89,0.12 0.00 0.00 0.01
2650,-14.08 -14.90 -14.11 -14.89,0.10 0.00 0.00 0.00
2651,-14.08 -14.90 -14.11 -14.89,0.09 0.00 0.00 0.00
2652,-14.08 -14.90 -14.11 -14.89,0.08 0.00 0.00 0.00
2653,-14.08 -14.90 -14.11 -14.89,0.07 0.00 0.00 0.00
2654,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
2655,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
2656,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
2657,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
2658,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
2659,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
2660,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
2661,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
2662,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
2663,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
2664,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
2665,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
2666,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
2667,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
2668,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
2669,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
2670,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
2671,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
2672,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
2673,-14.08 -14.90 -14.11 -14.89,0.94 0.00 0.00 0.00
2674,-14.08 -14.90 -14.11 -14.89,0.89 0.00 0.00 0.00
2675,-14.08 -14.90 -14.11 -14.89,0.84 0.00 0.00 0.00
2676,-14.08 -14.90 -14.11 -14.89,0.78 0.00 0.00 0.00
2677,-14.08 -14.90 -14.11 -14.89,0.73 0.00 0.00 0.00
2678,-14.08 -14.90 -14.11 -14.89,0.67 0.00 0.00 0.00
2679,-14.08 -14.90 -14.11 -14.89,0.61 0.00 0.00 0.00
2680,-14.08 -14.90 -14.11 -14.89,0.56 0.00 0.00 0.00
2681,-14.08 -14.90 -14.11 -14.89,0.51 0.00 0.00 0.00
2682,-14.08 -14.90 -14.11 -14.89,0.46 0.00 0.00 0.00
2683,-14.08 -14.90 -14.11 -14.89,0.42 0.00 0.00 0.00
2684,-14.08 -14.90 -14.11 -14.89,0.37 0.00 0.00 0.00
2685,-14.08 -14.90 -14.11 -14.89,0.34 0.00 0.00 0.00
2686,-14.08 -14.90 -14.11 -14.89,0.30 0.00 0.00 0.00
2687,-14.08 -14.90 -14.11 -14.89,0.27 0.00 0.00 0.00
2688,-14.08 -14.90 -14.11 -14.89,0.24 0.00 0.00 0.00
2689,-14.08 -14.90 -14.11 -14.89,0.21 0.00 0.00 0.00
2690,-14.08 -14.90 -14.11 -14.89,0.19 0.00 0.00 0.00
2691,-14.08 -14.90 -14.11 -14.89,0.17 0.00 0.00 0.00
2692,-14.08 -14.90 -14.11 -14.89,0.15 0.00 0.00 0.00
2693,-14.08 -14.90 -14.11 -14.89,0.13 0.00 0.00 0.00
2694,-14.08 -14.90 -14.11 -14.89,0.12 0.00 0.00 0.00
2695,-14.08 -14.90 -14.11 -14.89,0.10 0.00 0.00 0.00
2696,-14.08 -14.90 -14.11 -14.89,0.09 0.00 0.00 0.00
2697,-14.08 -14.90 -14.11 -14.89,0.08 0.00 0.00 0.00
2698,-14.08 -14.90 -14.11 -14.89,0.07 0.00 0.00 0.00
2699,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
2700,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
2701,-14.08 -14.90 -14.11 -14.89,0.05 0.00 0.00 0.00
2702,-14.08 -14.90 -14.11 -14.89,0.04 0.00 0.00 0.00
2703,-14.08 -14.90 -14.11 -14.89,0.04 0.00 0.00 0.00
2704,-14.08 -14.90 -14.11 -14.89,0.03 0.38 0.00 0.00
2705,-14.08 -14.90 -14.11 -14.89,0.03 0.64 0.00 0.00
2706,-14.08 -14.90 -14.11 -14.89,0.03 0.82 0.00 0.00
2707,-14.08 -14.90 -14.11 -14.89,0.02 0.38 0.00 0.00
2708,-14.08 -14.90 -14.11 -14.89,0.02 0.64 0.00 0.00
2709,-14.08 -14.90 -14.11 -14.89,0.02 0.82 0.00 0.00
2710,-14.08 -14.90 -14.11 -14.89,0.01 0.92 0.00 0.00
2711,-14.08 -14.90 -14.11 -14.89,0.01 0.38 0.00 0.00
2712,-14.08 -14.90 -14.11 -14.89,0.01 0.64 0.00 0.00
2713,-14.08 -14.90 -14.11 -14.89,0.01 0.82 0.00 0.00
2714,-14.08 -14.90 -14.11 -14.89,0.01 0.92 0.00 0.00
2715,-14.08 -14.90 -14.11 -14.89,0.01 0.38 0.00 0.00
2716,-14.08 -14.90 -14.11 -14.89,0.01 0.64 0.00 0.00
2717,-14.08 -14.90 -14.11 -14.89,0.01 0.82 0.00 0.00
2718,-14.08 -14.90 -14.11 -14.89,0.01 0.92 0.00 0.00
2719,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
2720,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2721,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
2722,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
2723,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2724,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
2725,-14.08 -14.90 -14.11 -14.89,0.00 1.00 0.00 0.00
2726,-14.08 -14.90 -14.11 -14.89,0.00 0.99 0.00 0.00
2727,-14.08 -14.90 -14.11 -14.89,0.00 0.96 0.00 0.00
2728,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2729,-14.08 -14.90 -14.11 -14.89,0.00 0.87 0.00 0.00
2730,-14.08 -14.90 -14.11 -14.89,0.00 0.81 0.00 0.00
2731,-14.08 -14.90 -14.11 -14.89,0.00 0.75 0.00 0.00
2732,-14.08 -14.90 -14.11 -14.89,0.00 0.69 0.00 0.00
2733,-14.08 -14.90 -14.11 -14.89,0.00 0.63 0.00 0.00
2734,-14.08 -14.90 -14.11 -14.89,0.00 0.58 0.00 0.00
2735,-14.08 -14.90 -14.11 -14.89,0.00 0.52 0.00 0.00
2736,-14.08 -14.90 -14.11 -14.89,0.00 0.47 0.00 0.00
2737,-14.08 -14.90 -14.11 -14.89,0.00 0.42 0.00 0.00
2738,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2739,-14.08 -14.90 -14.11 -14.89,0.00 0.34 0.00 0.00
2740,-14.08 -14.90 -14.11 -14.89,0.00 0.30 0.00 0.00
2741,-14.08 -14.90 -14.11 -14.89,0.00 0.27 0.00 0.00
2742,-14.08 -14.90 -14.11 -14.89,0.00 0.24 0.00 0.00
2743,-14.08 -14.90 -14.11 -14.89,0.00 0.21 0.00 0.00
2744,-14.08 -14.90 -14.11 -14.89,0.00 0.19 0.00 0.00
2745,-14.08 -14.90 -14.11 -14.89,0.00 0.17 0.00 0.00
2746,-14.08 -14.90 -14.11 -14.89,0.00 0.15 0.00 0.00
2747,-14.08 -14.90 -14.11 -14.89,0.00 0.13 0.00 0.00
2748,-14.08 -14.90 -14.11 -14.89,0.00 0.11 0.00 0.00
2749,-14.08 -14.90 -14.11 -14.89,0.00 0.10 0.00 0.00
2750,-14.08 -14.90 -14.11 -14.89,0.00 0.09 0.00 0.00
2751,-14.08 -14.90 -14.11 -14.89,0.00 0.08 0.00 0.00
2752,-14.08 -14.90 -14.11 -14.89,0.00 0.07 0.00 0.00
2753,-14.08 -14.90 -14.11 -14.89,0.00 0.06 0.00 0.00
2754,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
2755,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
2756,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2757,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
2758,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
2759,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2760,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2761,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
2762,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
2763,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2764,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
2765,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2766,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
2767,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
2768,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2769,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
2770,-14.08 -14.90 -14.11 -14.89,0.00 1.00 0.00 0.00
2771,-14.08 -14.90 -14.11 -14.89,0.00 0.99 0.00 0.00
2772,-14.08 -14.90 -14.11 -14.89,0.00 0.96 0.00 0.00
2773,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
2774,-14.08 -14.90 -14.11 -14.89,0.00 0.87 0.00 0.00
2775,-14.08 -14.90 -14.11 -14.89,0.00 0.81 0.00 0.00
2776,-14.08 -14.90 -14.11 -14.89,0.00 0.75 0.00 0.00
2777,-14.08 -14.90 -14.11 -14.89,0.00 0.69 0.00 0.00
2778,-14.08 -14.90 -14.11 -14.89,0.00 0.63 0.00 0.00
2779,-14.08 -14.90 -14.11 -14.89,0.00 0.58 0.00 0.00
2780,-14.08 -14.90 -14.11 -14.89,0.00 0.52 0.00 0.00
2781,-14.08 -14.90 -14.11 -14.89,0.00 0.47 0.00 0.00
2782,-14.08 -14.90 -14.11 -14.89,0.00 0.42 0.00 0.00
2783,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
2784,-14.08 -14.90 -14.11 -14.89,0.00 0.34 0.00 0.00
2785,-14.08 -14.90 -14.11 -14.89,0.00 0.30 0.00 0.00
2786,-14.08 -14.90 -14.11 -14.89,0.00 0.27 0.00 0.00
2787,-14.08 -14.90 -14.11 -14.89,0.00 0.24 0.00 0.00
2788,-14.08 -14.90 -14.11 -14.89,0.00 0.21 0.00 0.00
2789,-14.08 -14.90 -14.11 -14.89,0.00 0.19 0.00 0.00
2790,-14.08 -14.90 -14.11 -14.89,0.00 0.17 0.00 0.00
2791,-14.08 -14.90 -14.11 -14.89,0.00 0.15 0.00 0.00
2792,-14.08 -14.90 -14.11 -14.89,0.00 0.13 0.00 0.00
2793,-14.08 -14.90 -14.11 -14.89,0.00 0.11 0.00 0.00
2794,-14.08 -14.90 -14.11 -14.89,0.00 0.10 0.00 0.00
2795,-14.08 -14.90 -14.11 -14.89,0.00 0.09 0.00 0.00
2796,-14.08 -14.90 -14.11 -14.89,0.00 0.08 0.00 0.00
2797,-14.08 -14.90 -14.11 -14.89,0.00 0.07 0.00 0.00
2798,-14.08 -14.90 -14.11 -14.89,0.00 0.06 0.00 0.00
2799,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
2800,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
2801,-14.08 -14.90 -14.11 -14.89,0.00 0.04 0.00 0.00
2802,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.00 0.00
2803,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.00 0.00
2804,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.36 0.00
2805,-14.08 -14.90 -14.11 -14.89,0.00 0.02 0.62 0.00
2806,-14.08 -14.90 -14.11 -14.89,0.00 0.02 0.80 0.00
2807,-14.08 -14.90 -14.11 -14.89,0.00 0.02 0.91 0.00
2808,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.36 0.00
2809,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.62 0.00
2810,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.80 0.00
2811,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.91 0.00
2812,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.97 0.00
2813,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.36 0.00
2814,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.62 0.00
2815,-14.08 -14.90 -14.11 -14.89,0.00 0.01 0.80 0.00
